,restName,from,orderTime,extras,isDelivered,itemCount,sentBy,isPaid,paidBy,itemVal,closedBy,table,sendTime,closedAt,item,orderCaption,discount,discountAt,discountBy,discountPercentage
0,,,,,,,,,,,,,,,,,,,,
1,Vivaldi Harmony,adyan,2021-09-20 13:33:22.976000+00:00,[],1.0,1.0,gorkemk,1.0,card,15.0,vharmonyadmin,d15,2021-09-20 13:37:30.645999+00:00,2021-09-20 14:48:13.523000+00:00,FİLTRE KAHVE,,,,,
2,Vivaldi Harmony,adyan,2021-09-20 13:33:35.548000+00:00,[],True,1.0,gorkemk,True,cash,15.525,vharmonyadmin,s5,2021-09-20 13:37:33.081000+00:00,2021-09-20 13:58:20.462000+00:00,COFFEE FLAT WHİTE ,,1.0,2021-09-20 13:56:38.302000+00:00,vharmonyadmin,10.0
3,Vivaldi Harmony,adyan,2021-09-20 13:33:47.365000+00:00,[],True,2.0,gorkemk,True,cash,62.1,vharmonyadmin,s5,2021-09-20 13:37:39.496000+00:00,2021-09-20 13:58:20.462000+00:00,SAN SEBASTİAN CHEESECAKE,,True,2021-09-20 13:56:38.302000+00:00,vharmonyadmin,10.0
4,Vivaldi Harmony,adyan,2021-09-20 13:33:52.122999+00:00,[],True,1.0,gorkemk,True,cash,31.05,vharmonyadmin,s5,2021-09-20 13:37:41.184999+00:00,2021-09-20 13:58:20.462000+00:00,Vivaldi Brownie,,True,2021-09-20 13:56:38.302000+00:00,vharmonyadmin,10.0
5,Vivaldi Harmony,adyan,2021-09-20 13:34:07.997999+00:00,[],True,3.0,gorkemk,True,cash,15.525,vharmonyadmin,s5,2021-09-20 13:37:45.229000+00:00,2021-09-20 13:58:20.462000+00:00,SU,,True,2021-09-20 13:56:38.302000+00:00,vharmonyadmin,10.0
6,Vivaldi Görükle,vgorukle,2021-09-20 13:35:46.686000+00:00,[],True,1.0,,True,cash,5.0,vgorukle,b1,,2021-09-20 13:35:54.211000+00:00,SİYAH ÇAY,,,,,
7,Vivaldi Görükle,vgorukle,2021-09-20 13:35:50.470000+00:00,[],True,1.0,,True,cash,5.0,vgorukle,b1,,2021-09-20 13:35:54.211000+00:00,SU,,,,,
8,Vivaldi Harmony,adyan,2021-09-20 13:36:40.977999+00:00,[],True,2.0,gorkemk,True,cash,23.8,vharmonyadmin,s6,2021-09-20 13:40:05.249000+00:00,2021-09-20 14:05:17.614000+00:00,GELENEKSEL TÜRK KAHVESİ,şekerli/ sade ,True,2021-09-20 14:01:56.210000+00:00,vharmonyadmin,15.0
9,Vivaldi Harmony,gorkemk,2021-09-20 13:44:31.953000+00:00,[],True,1.0,gorkemk,True,cash,30.0,vharmonyadmin,s2,2021-09-20 13:46:11.020999+00:00,2021-09-20 13:57:04.096000+00:00,VİVALDİ ÇİLEK,,,,,
10,Vivaldi Harmony,adyan,2021-09-20 13:47:04.339999+00:00,[],True,1.0,gorkemk,True,card,5.0,vharmonyadmin,d15,2021-09-20 13:50:44.865000+00:00,2021-09-20 14:48:13.523000+00:00,SİYAH ÇAY,,,,,
11,Vivaldi Harmony,adyan,2021-09-20 13:47:10.482000+00:00,[],True,1.0,gorkemk,True,card,14.0,vharmonyadmin,d15,2021-09-20 13:50:46.065999+00:00,2021-09-20 14:48:13.523000+00:00,GELENEKSEL TÜRK KAHVESİ,sade ,,,,
12,Vivaldi Harmony,adyan,2021-09-20 13:47:14.739000+00:00,[],True,1.0,gorkemk,True,card,7.0,vharmonyadmin,d15,2021-09-20 13:50:47.226000+00:00,2021-09-20 14:48:13.523000+00:00,SODA,,,,,
13,Vivaldi Harmony,adyan,2021-09-20 13:48:09.586999+00:00,[],True,2.0,gorkemk,True,card,10.004999999999999,vharmonyadmin,b4,2021-09-20 13:50:48.266000+00:00,2021-09-20 16:18:53.131000+00:00,SİYAH ÇAY,,True,2021-09-20 16:18:48.518000+00:00,vharmonyadmin,13.0
14,Vivaldi Harmony,adyan,2021-09-20 13:49:46.224999+00:00,[],True,1.0,gorkemk,True,card,30.015,vharmonyadmin,s4,2021-09-20 13:56:46.364000+00:00,2021-09-20 14:36:02.421000+00:00,Vivaldi Brownie,,True,2021-09-20 14:35:56.825000+00:00,vharmonyadmin,13.0
15,Vivaldi Harmony,adyan,2021-09-20 13:50:12.812999+00:00,[],True,1.0,gorkemk,True,card,30.015,vharmonyadmin,s4,2021-09-20 13:56:47.313999+00:00,2021-09-20 14:36:02.421000+00:00,VİVALDİ ÇİLEK,,True,2021-09-20 14:35:56.825000+00:00,vharmonyadmin,13.0
16,Vivaldi Harmony,adyan,2021-09-20 13:50:16.147000+00:00,[],True,1.0,gorkemk,True,card,30.015,vharmonyadmin,s4,2021-09-20 13:56:48.421999+00:00,2021-09-20 14:36:02.421000+00:00,SAN SEBASTİAN CHEESECAKE,,True,2021-09-20 14:35:56.825000+00:00,vharmonyadmin,13.0
17,Vivaldi Harmony,adyan,2021-09-20 13:50:25.970999+00:00,[],True,1.0,gorkemk,True,card,30.015,vharmonyadmin,s4,2021-09-20 13:56:49.447000+00:00,2021-09-20 14:36:02.421000+00:00,Vivaldi Brownie,,True,2021-09-20 14:35:56.825000+00:00,vharmonyadmin,13.0
18,Vivaldi Harmony,adyan,2021-09-20 13:51:38.974999+00:00,[],True,4.0,gorkemk,True,card,56.028000000000006,vharmonyadmin,s4,2021-09-20 13:56:50.496999+00:00,2021-09-20 14:36:02.421000+00:00,GELENEKSEL TÜRK KAHVESİ,orta ,True,2021-09-20 14:35:56.825000+00:00,vharmonyadmin,13.0
19,Vivaldi Harmony,adyan,2021-09-20 13:54:55.440999+00:00,[],True,1.0,adyan,True,card,5.0,vharmonyadmin,d2,2021-09-20 13:55:04.232000+00:00,2021-09-20 14:07:43.946000+00:00,SU,,,,,
20,Vivaldi Harmony,adyan,2021-09-20 13:55:58.131999+00:00,[],True,2.0,gorkemk,True,card,10.004999999999999,vharmonyadmin,s4,2021-09-20 13:56:51.423000+00:00,2021-09-20 14:36:02.421000+00:00,SU,,True,2021-09-20 14:35:56.825000+00:00,vharmonyadmin,13.0
21,Vivaldi Harmony,adyan,2021-09-20 14:02:49.322000+00:00,[],True,1.0,gorkemk,True,card,15.66,vharmonyadmin,s4,2021-09-20 14:03:59.690999+00:00,2021-09-20 14:36:02.421000+00:00,EL YAPIMI LİMONATA,,True,2021-09-20 14:35:56.825000+00:00,vharmonyadmin,13.0
22,Vivaldi Özlüce,cozluceadmin,2021-09-20 14:07:21.085000+00:00,[],True,1.0,,True,cash,18.0,cozluceadmin,s6,,2021-09-20 14:35:32.277000+00:00,COFFEE DARK MOCHA,,,,,
23,Vivaldi Özlüce,cozluceadmin,2021-09-20 14:07:24.364000+00:00,[],True,1.0,,True,cash,15.0,cozluceadmin,s6,,2021-09-20 14:35:32.277000+00:00,COFFEE FLAT WHİTE ,,,,,
24,Vivaldi Özlüce,cozluceadmin,2021-09-20 14:07:28.288000+00:00,[],True,1.0,,True,cash,30.0,cozluceadmin,s6,,2021-09-20 14:35:32.277000+00:00,SAN SEBASTİAN CHEESECAKE,,,,,
25,Vivaldi Özlüce,cozluceadmin,2021-09-20 14:07:29.875000+00:00,[],True,1.0,,True,cash,30.0,cozluceadmin,s6,,2021-09-20 14:35:32.277000+00:00,VİVALDİ BROWNİE,,,,,
